iter	Passed	Remaining
455	917	7127
456	920	7137
457	922	7131
458	923	7124
459	924	7116
460	926	7109
461	927	7101
462	928	7094
463	929	7086
464	931	7078
465	932	7070
466	935	7081
467	938	7080
468	939	7076
469	941	7069
470	942	7064
471	944	7060
472	946	7054
473	949	7060
474	950	7055
475	952	7048
476	954	7046
477	955	7038
478	956	7029
479	957	7019
480	958	7010
481	959	7003
482	960	6996
483	962	6990
484	965	6994
485	966	6990
486	970	6999
487	972	6998
488	974	6994
489	975	6987
490	977	6983
491	979	6982
492	980	6978
493	982	6971
494	983	6966
495	985	6959
496	986	6952
497	987	6944
498	988	6937
499	990	6931
500	991	6927
501	994	6926
502	995	6923
503	998	6923
504	1003	6946
505	1007	6955
506	1009	6957
507	1011	6954
508	1013	6953
509	1015	6949
510	1018	6951
511	1020	6952
512	1022	6951
513	1037	7035
514	1039	7034
515	1040	7027
516	1042	7020
517	1043	7013
518	1044	7005
519	1045	6996
520	1046	6989
521	1048	6986
522	1052	6995
523	1054	6996
524	1056	6992
525	1057	6985
526	1059	6979
527	1060	6974
528	1064	6983
529	1066	6979
530	1068	6982
531	1070	6976
532	1072	6974
533	1073	6967
534	1074	6960
535	1077	6965
536	1079	6961
537	1081	6961
538	1083	6956
539	1084	6951
540	1087	6951
541	1088	6945
542	1090	6943
543	1092	6940
544	1093	6935
545	1095	6929
546	1096	6924
547	1098	6920
548	1100	6916
549	1101	6910
550	1103	6904
551	1106	6911
552	1109	6916
553	1112	6919
554	1113	6914
555	1115	6908
556	1117	6905
557	1119	6903
558	1120	6900
559	1122	6895
560	1123	6888
561	1125	6882
562	1126	6876
563	1127	6871
564	1129	6865
565	1130	6857
566	1131	6848
567	1132	6841
568	1133	6836
569	1135	6831
570	1137	6830
571	1140	6837
572	1142	6834
573	1144	6829
574	1145	6824
575	1148	6829
576	1150	6824
577	1152	6821
578	1156	6831
579	1157	6827
580	1159	6824
581	1160	6817
582	1166	6839
583	1171	6851
584	1173	6852
585	1175	6847
586	1178	6851
587	1181	6853
588	1184	6861
589	1186	6855
590	1187	6849
591	1189	6845
592	1191	6843
593	1197	6869
594	1199	6866
595	1203	6872
596	1204	6867
597	1206	6864
598	1209	6868
599	1211	6864
600	1212	6856
601	1213	6849
602	1216	6854
603	1218	6848
604	1219	6845
605	1221	6842
606	1224	6843
607	1225	6838
608	1227	6836
609	1232	6847
610	1233	6843
611	1248	6913
612	1249	6906
613	1251	6901
614	1256	6916
615	1258	6913
616	1259	6907
617	1261	6902
618	1262	6895
619	1263	6888
620	1264	6880
621	1266	6875
622	1270	6884
623	1271	6878
624	1272	6873
625	1274	6867
626	1275	6862
627	1276	6856
628	1278	6849
629	1279	6844
630	1281	6840
631	1282	6835
632	1284	6833
633	1286	6828
634	1288	6825
635	1289	6821
636	1291	6816
637	1293	6814
638	1295	6813
639	1297	6809
640	1298	6802
641	1299	6795
642	1300	6789
643	1301	6782
644	1302	6776
645	1303	6768
646	1304	6762
647	1305	6755
648	1307	6749
649	1311	6758
650	1312	6754
651	1314	6751
652	1315	6744
653	1316	6737
654	1318	6731
655	1319	6726
656	1320	6719
657	1322	6717
658	1324	6715
659	1326	6710
660	1327	6704
661	1328	6698
662	1329	6692
663	1330	6685
664	1331	6679
665	1332	6672
666	1333	6665
667	1335	6659
668	1336	6653
669	1337	6646
670	1341	6653
671	1344	6656
672	1345	6651
673	1346	6645
674	1347	6638
675	1348	6631
676	1349	6625
677	1350	6619
678	1352	6613
679	1353	6610
680	1355	6606
681	1356	6600
682	1357	6594
